# METADATA:
# 000M7: Ploeren
# 07110: Brest-Guipavas
# 07130: Rennes-St Jacques
# STATIC0021: Hillion
# STATIC0308: Quimper
# Source: www.infoclimat.fr/MeteoFrance
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;pression_variation_3h;humidite;point_de_rosee;visibilite;vent_moyen;vent_rafales;vent_rafales_10min;vent_direction;temperature_min;temperature_max;pluie_1h;pluie_3h;pluie_6h;pluie_12h;pluie_24h;ensoleillement;temperature_sol;temps_omm;source;radiations;neige_au_sol;nebulosite;raw_msg;pluie_cumul_0h;pluie_intensite;pluie_intensite_max_1h;uv;uv_index;complements
string;YYYY-MM-DD hh:mm:ss;°C;hPa;hPa;%;°C;m;km/h;km/h;km/h;deg;°C;°C;mm;mm;mm;mm;mm;hours;°C;https://www.infoclimat.fr/stations-meteo/ww.php;StatIC={oy1110,liveobjects,wlkIPxml,wlkLive,csv,weatherlink,vws,vws2,mnw,weewxPosteriori,wlk2webdlRR,wlkLivePostprocessed,wlk2webdl}|Synop={metno1,ogimet,bufr,inra,arpa-liguria,jma1,swiss-opendata,mcx,meteocentre,andorre,arpa-piemonte};W/m²;cm;octats;raw synop;mm;mm/h;mm/h;W/m²;UV Index;various
07110;2024-10-19 00:00:00;15.8;1009.7;-1.9;96;15.2;5000;32.4;57.6;50.4;210;;;0.4;1;1;;;;;61;ogimet;;;8;AAXX 19001 07110 04350 82109 10158 20152 39982 40097 56019 60011 761// 88/// 333 32014 55300 20000 55408 40000 59083 60017 87/07 88/12 91014 90710 91116 555 69945 90760 91116==;;;;;;
07110;2024-10-19 01:00:00;14.3;1010.1;-0.7;91;12.8;5000;25.2;54;50.4;260;;;2;;;;;;;60;ogimet;;;8;AAXX 19011 07110 24250 82607 10143 20128 39985 40101 55007 760// 88/// 333 32014 55300 20000 55408 40000 59082 60025 87/06 88/18 91014 90710 91115 555 90730 91116==;;;;;;
07110;2024-10-19 02:00:00;13.1;1010.5;0.3;96;12.5;13000;10.8;25.2;18;280;;;0.4;;;;;;;52;ogimet;;;8;AAXX 19021 07110 24363 82803 10131 20125 39988 40105 53003 752// 87/// 333 32014 55300 20000 55408 40000 59080 69945 83/08 87/24 88/56 91005 90710 91107 555 90730 91116==;;;;;;
07110;2024-10-19 03:00:00;12.8;1010.8;0.9;97;12.3;55000;7.2;21.6;14.4;270;;;0.2;3;;;;;;;ogimet;;;8;AAXX 19031 07110 24385 82702 10128 20123 39991 40108 52009 88/// 333 3/014 55300 20000 55408 40000 59072 60037 83/07 86/15 88/47 91004 90710 91106 555 69925 90730 91115==;;;;;;
07110;2024-10-19 04:00:00;12.3;1010.8;0.6;97;11.8;10000;7.2;10.8;7.2;250;;;0;;;;;;;;ogimet;;;8;AAXX 19041 07110 24460 82502 10123 20118 39991 40108 51006 88/// 333 31014 55300 20000 55408 40000 59067 60005 85/15 86/25 88/30 91002 90710 91103 555 90730 91107==;;;;;;
07110;2024-10-19 05:00:00;12.8;1011.5;1;98;12.5;11000;7.2;10.8;10.8;250;;;0;;;;;;;;ogimet;;;8;AAXX 19051 07110 24361 82502 10128 20125 39998 40115 53010 88/// 333 31014 55300 20000 55408 40000 59063 60005 85/08 87/14 88/19 91003 90710 91103 555 90730 91106==;;;;;;
07110;2024-10-19 06:00:00;11.1;1012.5;1.6;98;10.8;3600;7.2;14.4;14.4;270;11.1;16.1;0;0;;4;4.4;2.8;13;10;ogimet;;;8;AAXX 19061 07110 04436 82702 10111 20108 30007 40125 53016 60042 710// 88/// 333 10161 20111 3/013 55028 20536 55300 20000 55408 40000 59055 60007 70044 85/14 86/19 87/24 91004 90710 91104 555 60005 90760 91115==;;;;;;
07110;2024-10-19 07:00:00;11;1013;2.1;98;10.7;400;3.6;14.4;3.6;290;;;0;;;;;;;44;ogimet;;;;AAXX 19071 07110 24904 /2901 10110 20107 30012 40130 51021 744// 333 31012 55300 20000 55408 40000 59054 60005 91001 90710 91104 555 90730 91104==;;;;;;
07110;2024-10-19 08:00:00;11.8;1014.3;2.7;98;11.5;4800;7.2;10.8;10.8;250;;;0;;;;;;;10;ogimet;;;;AAXX 19081 07110 24448 /2502 10118 20115 30025 40143 53027 710// 85/// 333 31012 55300 20236 55408 40114 59044 60005 85/18 91003 90710 91103 555 90730 91104==;;;;;;
