dh_utc,temperature_moyenne,pression_moyenne,humidite_moyenne,visibilité_moyenne,vent_moyen,vent_rafales_moyen,vent_rafales_max,vent_direction_moyenne,pluie_moyenne,pluie_intesite,uv,uv_index
2024-10-19 00:00:00,15.666666666666666,1011.8666666666667,95.0,16000.0,16.666666666666668,25.2,25.2,192.33333333333334,0.26666666666666666,0.6,0.0,0.0
2024-10-19 00:10:00,15.8,1011.2,94.0,,15.4,,,176.0,,0.0,0.0,0.0
2024-10-19 00:15:00,16.4,1010.7,94.0,,14.9,,,214.0,,0.8,,
2024-10-19 00:20:00,15.9,1011.3,94.0,,16.3,,,175.0,,0.0,0.0,0.0
2024-10-19 00:30:00,16.1,1010.85,93.0,,17.4,,,202.5,,1.9000000000000001,0.0,0.0
2024-10-19 00:40:00,15.9,1010.9,94.0,,16.4,,,168.0,,1.0,0.0,0.0
2024-10-19 00:45:00,15.9,1010.6,92.0,,17.3,,,233.0,,4.4,,
2024-10-19 00:50:00,15.9,1010.9,94.0,,16.5,,,162.0,,0.0,0.0,0.0
2024-10-19 01:00:00,15.3,1011.1,94.0,7500.0,18.025,41.4,54.0,209.0,1.2,1.4,0.0,0.0
2024-10-19 01:10:00,16.1,1010.6,94.0,,15.1,,,169.0,,0.2,0.0,0.0
2024-10-19 01:15:00,15.5,1010.3,94.0,,9.4,,,235.0,,8.6,,
2024-10-19 01:20:00,16.1,1010.5,94.0,,14.8,,,168.0,,0.2,0.0,0.0
2024-10-19 01:30:00,15.75,1010.3499999999999,94.0,,13.05,,,198.5,,1.1,0.0,0.0
2024-10-19 01:40:00,16.2,1010.3,94.0,,16.0,,,168.0,,0.0,0.0,0.0
2024-10-19 01:45:00,15.3,1010.3,95.0,,8.1,,,227.0,,0.0,,
2024-10-19 01:50:00,16.2,1010.1,94.0,,15.2,,,169.0,,0.0,0.0,0.0
2024-10-19 02:00:00,15.049999999999999,1010.8,95.25,10500.0,13.025,28.799999999999997,32.4,217.25,0.95,0.1,0.0,0.0
2024-10-19 02:10:00,16.3,1010.1,94.0,,16.1,,,179.0,,0.0,0.0,0.0
2024-10-19 02:15:00,15.4,1010.1,94.0,,8.6,,,239.0,,0.0,,
2024-10-19 02:20:00,16.3,1010.1,93.0,,13.6,,,182.0,,0.2,0.0,0.0
2024-10-19 02:30:00,15.75,1010.1500000000001,94.0,,9.6,,,218.0,,3.6,0.0,0.0
2024-10-19 02:40:00,16.2,1010.0,94.0,,12.0,,,187.0,,1.6,0.0,0.0
2024-10-19 02:45:00,14.8,1010.1,94.0,,3.9,,,274.0,,0.0,,
2024-10-19 02:50:00,16.2,1009.9,94.0,,11.6,,,187.0,,1.2,0.0,0.0
2024-10-19 03:00:00,14.850000000000001,1010.7,95.0,31000.0,11.2,25.200000000000003,28.8,225.25,0.6499999999999999,0.8,0.0,0.0
2024-10-19 03:10:00,16.0,1010.0,94.0,,9.4,,,208.0,,1.2,0.0,0.0
2024-10-19 03:15:00,13.7,1010.6,93.0,,6.7,,,302.0,,0.0,,
2024-10-19 03:20:00,15.9,1010.1,94.0,,14.2,,,226.0,,1.4,0.0,0.0
2024-10-19 03:30:00,14.600000000000001,1010.35,94.0,,10.1,,,278.5,,0.6,0.0,0.0
2024-10-19 03:40:00,15.8,1010.1,94.0,,15.1,,,244.0,,0.2,0.0,0.0
2024-10-19 03:45:00,13.2,1010.6,94.0,,4.9,,,319.0,,0.0,,
2024-10-19 03:50:00,15.6,1010.1,94.0,,14.6,,,243.0,,1.6,0.0,0.0
2024-10-19 04:00:00,14.225,1010.775,94.75,12500.0,10.9,21.6,32.4,242.0,0.4,0.0,0.0,0.0
2024-10-19 04:10:00,15.4,1010.1,93.0,,15.2,,,253.0,,0.0,0.0,0.0
2024-10-19 04:15:00,13.2,1010.9,94.0,,1.4,,,266.0,,0.0,,
2024-10-19 04:20:00,15.4,1010.2,93.0,,14.4,,,259.0,,0.0,0.0,0.0
2024-10-19 04:30:00,13.95,1010.8,93.0,,8.6,,,290.0,,0.0,0.0,0.0
2024-10-19 04:40:00,13.9,1010.6,93.0,,20.0,,,298.0,,0.0,0.0,0.0
2024-10-19 04:45:00,13.2,1011.2,94.0,,1.9,,,287.0,,0.0,,
2024-10-19 04:50:00,13.9,1010.7,93.0,,13.7,,,294.0,,0.2,0.0,0.0
2024-10-19 05:00:00,13.975,1011.275,95.25,10000.0,10.45,25.200000000000003,39.6,258.0,0.3,0.0,0.0,0.0
2024-10-19 05:10:00,13.7,1010.9,94.0,,12.1,,,294.0,,0.0,0.0,0.0
2024-10-19 05:15:00,12.9,1011.7,95.0,,2.4,,,276.0,,0.0,,
2024-10-19 05:20:00,13.7,1011.0,94.0,,10.7,,,292.0,,0.0,0.0,0.0
2024-10-19 05:30:00,13.35,1011.55,94.5,,6.2,,,280.0,,0.0,0.0,0.0
2024-10-19 05:40:00,13.7,1011.2,94.0,,10.5,,,298.0,,0.0,0.0,0.0
2024-10-19 05:45:00,12.9,1012.1,95.0,,1.2,,,265.0,,0.0,,
2024-10-19 05:50:00,13.7,1011.4,94.0,,10.9,,,295.0,,0.0,0.0,0.0
2024-10-19 06:00:00,13.425,1012.075,95.25,9800.0,7.925,25.2,36.0,270.25,0.0,0.0,0.0,0.0
2024-10-19 06:10:00,13.6,1011.9,94.0,,12.7,,,288.0,,0.0,0.0,0.0
2024-10-19 06:15:00,12.9,1012.7,95.0,,1.3,,,271.0,,0.0,,
2024-10-19 06:20:00,13.4,1012.0,94.0,,9.5,,,299.0,,0.0,0.0,0.0
2024-10-19 06:30:00,13.100000000000001,1012.5,94.0,,4.75,,,282.0,,0.1,0.0,0.0
2024-10-19 06:40:00,13.3,1012.4,93.0,,10.9,,,304.0,,0.0,0.0,0.0
2024-10-19 06:45:00,12.8,1012.7,95.0,,1.1,,,277.0,,0.0,,
2024-10-19 06:50:00,13.4,1012.7,93.0,,12.7,,,301.0,,0.0,0.0,0.0
2024-10-19 07:00:00,13.225,1012.725,95.5,3200.0,5.625,19.8,25.2,269.75,0.39999999999999997,0.0,9.0,0.0
2024-10-19 07:10:00,13.2,1012.9,93.0,,9.8,,,289.0,,0.0,12.0,0.0
2024-10-19 07:15:00,12.8,1012.9,94.0,,0.9,,,274.0,,0.0,,
2024-10-19 07:20:00,13.2,1013.0,93.0,,8.9,,,284.0,,0.0,67.0,0.0
2024-10-19 07:30:00,13.25,1013.15,94.0,,4.95,,,279.0,,0.0,72.0,0.0
2024-10-19 07:40:00,13.2,1013.1,93.0,,10.3,,,277.0,,0.0,86.0,0.0
2024-10-19 07:45:00,13.7,1013.6,94.0,,0.8,,,300.0,,0.0,,
2024-10-19 07:50:00,13.2,1013.3,93.0,,10.3,,,279.0,,0.0,109.0,0.0
